He,Ne,Cl,Mg,Ti,Fe,Ag,Ni,Si,Cu,Mn,Pt,U,Al,Ar,N,Zn,P,H,Ca,C,Cr,S,Li,Na,V,life_score,science_score,mining_score,success_score
0.22909800913240708,0.8669330705592965,0.32732943612463244,0.23270922249767761,0.7280248655121361,0.7450244415493085,1.011848112547972,0.651582639075811,0.3759531619534173,0.9110826550879795,0.3059235709994266,0.42297849487973127,0.9651897129235877,0.41313372951461474,0.261073552932318,0.5423923824906886,0.5991136992065262,0.8339839598466415,0.855804773084332,0.4151658067669472,0.31101653902947085,0.7161679909813369,0.43334736662302487,0.2660466240102328,0.2142665652097365,0.14965832186090847,0.5031093733697197,0.5318099706498931,0.5153978133477003,0.5170473002773852
0.1591278129886234,0.20471267771561108,0.27440710472263047,0.965486735907237,0.3761218110571471,0.16962154002578028,0.5124860695776637,0.6363329412162194,0.7647844552786933,0.19635422183562692,0.5174457188487663,0.7794344955216652,0.3674780636153636,0.4419048406730884,0.7029275300145501,0.2512431572240457,0.5547016133420175,0.3781382377046381,0.9636859679065346,0.14189153078695274,0.47147798450910183,0.10693960810609789,0.22718815591378014,0.7500790106636206,0.9216892639149731,0.8728444968811808,0.5105435918567346,0.5093319530668429,0.48710048268008027,0.505370314505447
0.5802522870989992,0.13607399508194645,0.16197565211884396,0.6686638601246923,0.34363977688587616,0.36240143860079416,0.8345374663384469,0.5258799711541975,0.20945614591184697,0.2373087699599426,0.1987353662534916,0.4445460365580617,0.21008995141626152,0.41144606203085704,0.28499435536987155,0.13300655074508375,0.5194512843344029,0.9442824416270766,0.8289598351483136,0.17372466313324547,0.9212213107905348,0.6868422290381743,0.2936827803157471,0.40050486226641696,0.7428155094837967,0.5715513725594212,0.5060551601788076,0.46674437611600383,0.44767572918899157,0.4786549603557229
0.10988891234478367,0.19316842453035862,0.12969771353385648,0.6741771727997237,0.4672596497970788,0.13674840323140403,0.2307900294157022,0.8593987092323896,0.3244636520064783,0.5871112198992737,0.6878473745702011,0.45469116099538803,0.17446014238662946,0.3556537858010548,0.9458367883471217,0.5810048953949919,0.93173156475656,0.8035821758469857,0.6156795270786181,0.23660938058927447,0.5480525936302086,0.2887818747006204,0.12738933197904528,0.267242134378971,0.4971300172353468,0.7866450140396699,0.48901538114199117,0.45940656675202596,0.4237452974220008,0.464117838642007
0.7615708298678192,0.6510565390381828,0.15200116570067018,0.3321539815225419,0.907559437448773,0.7689957666975173,0.08352480200538374,0.8309457826221729,0.8463945318272721,0.8731133101325051,0.11966487298073261,0.3259603994601202,0.745462381924042,0.4776037187325096,0.753379849522358,0.29529423623447376,0.4929752164447087,0.7911866471082031,0.2722706479350378,1.004982974987917,0.4075413785108574,0.7121567189358268,0.39255562080023876,0.9961728397965367,0.685481646423165,0.32308410375110763,0.5258704383548574,0.5760980982544789,0.5780411617226783,0.5563956469882702
0.3260477239378562,0.750271810461862,0.32928751986520216,0.4433122742254156,0.5930205695090276,0.12275420208758361,0.37157325690655624,0.2778118476730739,0.6125140452567949,0.5602469707171558,0.25669066313238903,0.545501762196995,0.5671422370566973,0.8187505503860183,0.5546940936263245,0.786453152216655,0.8766411636319983,0.510082618311749,0.5614093616902969,0.17066761278601147,0.5814361107231271,0.7413410432230708,0.24237358631699105,0.9249288231360411,0.233446589159933,0.09255172355682281,0.4563116702773483,0.4865229298769421,0.4723744313212792,0.47160872632597206
0.2678270405948902,0.7284336898019069,0.11051903660074743,0.978344568309252,0.44649373397282044,0.9653164920073766,0.9698911369570475,0.9283722479501202,0.46918866822281585,0.9635585565259284,0.7868945710419847,0.7158334778418832,0.7862976723723877,0.534031991627397,0.8543523140927439,0.2975932411496991,0.4067018515269566,0.7874143588450253,0.39078443067813284,0.15807696693473366,0.40193915618713943,0.5102256520161011,0.7561497742180366,0.9799649671859842,0.5592386729945262,0.47555727867967773,0.6210123983024312,0.653312343794421,0.6262991149226433,0.6349897198232696
0.191596273808143,0.42495917804309913,0.6260554068363586,0.7752254693084832,0.38225178682943556,0.5092505847918766,0.32124164123028914,0.683442722525372,0.44649552994267894,0.5149316148134141,0.9335308307918645,0.43233301368177846,0.5436988767305665,0.8665375433614401,0.3682137044877562,0.4887395927739462,0.3205311234160283,0.16476047725939974,0.5013890293641032,0.4546526995486328,0.993656270374392,0.5665967489102949,0.6288574936600811,0.8987819748429262,0.3526809175064494,0.622496004081242,0.5426208539490528,0.5372425605875357,0.5706312593966023,0.546071617693956
0.36889272930465744,0.3492024697601193,0.8190315265352335,0.9572085219323915,0.4791447972864575,0.17259952460037162,0.46858787167168486,0.20745751216453207,0.4120000895553726,0.5925084492133095,0.3964106752608945,0.4488696323611623,0.5371196191243462,0.18547536623732744,0.8352169986864921,0.745056022190589,0.27907083655106,0.15976008463888178,0.5813559545863857,0.15905728776385017,0.5511168496493228,0.1347466040496959,0.7060516252688062,0.8132302167271658,0.4750076408678712,0.4471687234864284,0.4956431022311399,0.4725422811519661,0.45670696367200997,0.47861554608764445
0.6380186409134729,0.7158727182393676,0.32187282003679707,0.358850138736285,0.8892555891541021,0.7217238554265113,0.17971286457486446,0.10158743461454295,0.10595648545201658,0.3032914791388806,0.5244339255382012,0.6349916895790778,0.6864600717400096,0.831781939604867,0.08094251105032013,0.5595314239345964,0.33345212504284355,0.39693529162492674,0.0907165061372513,0.9538914349627186,0.18944846054986625,0.45084252283307813,0.8338660112161413,0.5767533926614005,0.611307311860531,0.8493487767013926,0.4711920310794549,0.5069744205967341,0.5164032331104864,0.4945472272925729
